,topic,tweet_volume
0,Oscars,2526713
1,Butter,1766836
2,NEW SINGLE,221985
3,Bangtan,135753
4,Sehun,119967
5,#MondayMotivation,106882
6,BTS IS COMING,100171
7,YouTube TV,95888
8,#LesbianVisibilityDay,80874
9,Don Gato,75519
10,BILLIE,44005
11,Fields,42019
12,allkpop,31082
13,Auron,30874
14,Rubio,24349
15,Roku,23294
16,Texas and Florida,20843
17,kwon mina,19764
18,49ers,16057
19,Arenas,15212
20,tariq,14250
21,Draft Week,12337
22,Native American,11481
23,Many Americans,11344
24,Tim Ryan,11215
25,Rift Apart,10377
26,Rick Santorum,
27,Dr. Umar,
28,#AlienDay,
29,Julio Jones,
30,yeezy slides,
31,#whatsmelting,
32,#NationalPretzelDay,
33,Carol Burnett,
34,Birth of a Nation,
35,Second Amendment,
36,Rivet,
37,Elizabeth City,
38,Andrew Shaw,
39,Falcons,
40,Plymouth Middle School,
41,tjarks,
42,Doug Collins,
43,Sam Johnson,
44,Iroquois Confederacy,
45,The Noid,
46,Tyrese,
47,Joseline,
48,La Perla,
49,VALKYRIE ROCK VERSION,
