,topic_Madrid,tweet_volume_Madrid
0,Butter,1294279
1,Dynamite,925627
2,And the Oscar,140509
3,Bangtan,127908
4,Correos,87573
5,McDonald,64419
6,Ana Rosa,63787
7,Paint,58400
8,Raúl,49087
9,Marlaska,47484
10,Reyes Maroto,36872
11,Reyes Maroto,36872
12,Chernobyl,36722
13,Don Gato,34930
14,11-M,32338
15,Infolibre,26898
16,Leopoldo López,24979
17,Photoshop,21255
18,Auron,20303
19,Inda,18149
20,Cancún,15487
21,Ratchet,14550
22,Gernika,13670
23,Varane,13126
24,#PabloIglesiasFascista,12080
25,#ReturnalPS5enGAME,10729
26,Mónica López,10173
27,albacete,
28,#4MFisioterapiaDecide,
29,#PorLoQueDeVerdadImporta,
30,#DemocraciaOFascismo,
31,Juana Rivas,
32,El Escorial,
33,Muchísima,
34,Adriana Lastra,
35,Risto,
36,Iván Redondo,
37,El Supremo,
38,Villarejo,
39,Jesulin,
40,Guernica,
41,Xbox 360,
42,Djukic,
43,PREGUNTAS DESCARADAS,
44,Alsina,
45,Curro Jiménez,
46,José Gomes,
47,Sanfermines,
48,Señor Iglesias,
49,Mamen,
