,topic,tweet_volume
0,Butter,1318174
1,Dynamite,925627
2,Jake,267085
3,MY HEART,241802
4,bighit,239984
5,Spring,198927
6,CAN'T WAIT,197688
7,WHAT'S MELTING,166984
8,NEW SINGLE,166427
9,CHENLE,150447
10,Bangtan,127908
11,#CHANYEOL,88449
12,Tahu,84449
13,INI APA,72289
14,#Every27thWithLOEY,71081
15,Irene,69949
16,ASMR,66032
17,BTSARMY RUN FOR BTS,65250
18,BTS IS COMING,58891
19,K and EJ,55869
20,D-30,44686
21,Sejam,39872
22,6th Anniversary Challenge,39288
23,Day-30,35625
24,ITZY IS DIFFERENT,29607
25,#LOEYxStudioNNG,25692
26,Mentega,17193
27,Geonu,14548
28,Meleleh,11951
29,21 Mei,11873
30,Reyna,10077
31,BTS IS BACK,
32,LEE HAECHAN,
33,GITU DOANG,
34,Ultimate Bias,
35,P'Tay,
36,Rimar,
37,Burung,
38,Komnas HAM,
39,Nunggu 1,
40,Sunda Empire,
41,Keju,
42,Jeon Wonwoo,
43,Bu Risma,
44,11.00 WIB,
45,kim yerim,
46,matematika,
47,,
48,,
49,,
