,topic,tweet_volume
0,Butter,1499537
1,THAT'S IT,1409425
2,Dynamite,961737
3,#NCTDREAM_맛_HotSauce,473387
4,#SEVENTEEN,385040
5,bighit,254166
6,HAECHAN,220653
7,NEW SINGLE,191537
8,WHAT'S MELTING,172914
9,Bella,162707
10,CHENLE,156431
11,Not For Sale,134093
12,Bangtan,132849
13,#DrunkDazedIsOutNow,100872
14,sehun,97909
15,NEW ALBUM,96869
16,TRUZ,84850
17,BTS IS COMING,78059
18,BTS COMEBACK,76572
19,Irene,73465
20,BTSARMY RUN FOR BTS,68632
21,ASMR,67196
22,DEIB AND MAXPEIN,64867
23,WHAT'S HAPPENING,50164
24,jihyo,42882
25,ITZY IS DIFFERENT,34315
26,Requesting WHAT,33454
27,#ELF_Beautiful_Night,27817
28,meet ceo heart,26274
29,mondate with ellaizyl,22589
30,just in with kodrea,21922
31,Na Jaemin,21854
32,BEST BOY MINGHAO,14458
33,IM SO EXCITED,14252
34,2min,12276
35,SAVE THE DATE,11281
36,ralphgail 4 crismar ls,10603
37,SeChan,10132
38,#IntroducinnMe,
39,Ultimate Bias,
40,EXO LIGHTSTICK,
41,AKIng Kaarawan NaBukas,
42,STREAM BOY ON YOUTUBE,
43,P'Tay,
44,YUN NA YON,
45,SUMMER PACKAGE,
46,EAT JIN,
47,franzeya 2ndmonthsary,
48,Gordon Ramsay,
49,LEE DONGHYUCK,
