,topic,tweet_volume
0,Butter,1294279
1,Dynamite,918493
2,And the Oscar,140509
3,Bangtan,128191
4,Correos,87670
5,McDonald,64544
6,Ana Rosa,63787
7,Paint,58441
8,Raúl,49087
9,Marlaska,47518
10,Reyes Maroto,36872
11,Chernobyl,36722
12,Don Gato,34930
13,11-M,32338
14,Infolibre,26926
15,Leopoldo López,24979
16,Photoshop,21271
17,Auron,20657
18,Inda,18149
19,Cancún,15487
20,Ratchet,14550
21,Gernika,13661
22,Varane,13126
23,#PabloIglesiasFascista,12097
24,#ReturnalPS5enGAME,10719
25,Mónica López,10173
26,Juana Rivas,
27,#TodoEsMentira26A,
28,#DiadelaVisibilidadLesbica,
29,El Escorial,
30,#MisterUnderdog57,
31,Muchísima,
32,Adriana Lastra,
33,Risto,
34,Iván Redondo,
35,El Supremo,
36,Villarejo,
37,Jesulin,
38,Ministerios,
39,Guernica,
40,Xbox 360,
41,Djukic,
42,PREGUNTAS DESCARADAS,
43,Alsina,
44,Curro Jiménez,
45,José Gomes,
46,Sanfermines,
47,Señor Iglesias,
48,Mamen,
49,Miércoles 28,
