,topic,tweet_volume
0,#ENHYPEN,1516862
1,Oscar,1078483
2,Butter,815839
3,Spotify,757300
4,bighit,213506
5,The EU,129197
6,Boris Johnson,118913
7,BANGTAN,117547
8,Apple Music,116889
9,Henry,114794
10,Iran,93412
11,Prime Minister,87386
12,#LineofDuty,85319
13,Hunt,32543
14,Daily Mail,31424
15,Shearer,30374
16,Vieira,28250
17,noelle,27247
18,West Side Story,26273
19,Terry,25109
20,Daniel Ek,20429
21,Gove,20124
22,Murdoch,13183
23,Tariq,12511
24,Rooney,11219
25,Peston,10609
26,Bailly,10398
27,Ratchet & Clank,10068
28,Downing St,
29,RAWE CEEK,
30,GCSE,
31,#ToryLies,
32,#ASongOrMovieForAustralians,
33,#MondayVibes,
34,sunak,
35,Global Britain,
36,Raab,
37,sarah vine,
38,Simon Case,
39,Foreign Secretary,
40,Magna Carta,
41,Cabinet Secretary,
42,Balogun,
43,Yes Minister,
44,Scholes,
45,Lampard,
46,Giggs,
47,Gerrard,
48,Drowning Pool,
49,Abrdn,
