,topic,tweet_volume
0,#ENHYPEN,1538971
1,Butter,966674
2,#BORDER_CARNIVAL,888679
3,Dynamite,868743
4,#엔하이픈,669277
5,#Drunk_Dazed,404063
6,Oscars 2021,235325
7,WHAT'S MELTING,159546
8,Cécilia,152204
9,Bangtan,121511
10,Henry,115537
11,#MondayMotivation,97962
12,ASMR,64071
13,#LesbianVisibilityDay,62281
14,McDonald,62100
15,Selena Gomez,56133
16,#Nomadland,33844
17,West Side Story,26379
18,Spielberg,21031
19,L'école,19024
20,Vidal,17037
21,Ratchet & Clank,10375
22,#Top5Winamax,
23,Beurre,
24,Danette,
25,Kimpembe,
26,L'ADN,
27,#rentreescolaire,
28,Blachier,
29,#WorldIPDay,
30,Cned,
31,melun,
32,Alice Coffin,
33,Buttes Chaumont,
34,Visio,
35,Naps,
36,Russes,
37,#Tchernobyl,
38,#webinar,
39,#MondayMoji,
40,#BlanquerDemission,
41,#lundifleuri,
42,#etudiants,
43,#BoomeriseUnTitre,
44,#ggrmc,
45,#LundiMotivation,
46,,
47,,
48,,
49,,
