,topic,tweet_volume
0,#Oscars,1942059
1,#BORDER_CARNIVAL,888679
2,#방탄소년단,529273
3,#NCTDREAM_맛_HotSauce,430561
4,#BTS_Butter,257657
5,QUE ES ESTO,182271
6,Chloé Zhao,177988
7,Oscar 2021,161880
8,WHAT'S MELTING,159546
9,CHENLE,139201
10,Bangtan,121044
11,Brad,119831
12,El 26,103514
13,#LesbianVisibilityDay,62281
14,McDonald,62100
15,Chernobyl,35795
16,BTS IS COMING,27630
17,noelle,27378
18,#FelizLunes,26042
19,Dolina,22114
20,#GuessWho_MVTeaser1,21765
21,ITZY IS DIFFERENT,21541
22,Holan,21195
23,Sinopharm,21003
24,Borges,16867
25,Ibai,16676
26,#MasterChefArgentina,14920
27,Virrey,14788
28,MANTECA,12542
29,Escorpio,11319
30,#BuenLunes,
31,#Navarro2023,
32,Carlos Bianchi,
33,INDEC,
34,Daniel Gollan,
35,Luis Vázquez,
36,Dipy,
37,Matías Rojas,
38,ivan noble,
39,Florencia Peña,
40,Ministerio Público Fiscal,
41,Bossio,
42,Pappo,
43,Fernán Quirós,
44,Nueva Zelanda,
45,Angelina,
46,abel pintos,
47,#elclubdelmoro,
48,#QuieroLaCamiseta,
49,#BuenosDiasATodos,
