,topic_Mexico,tweet_volume_Mexico
0,Dynamite,986301
1,Comeback,844482
2,#방탄소년단,653183
3,#BTS_Butter,496053
4,HYBE,335008
5,Jake,258024
6,QUE ES ESTO,189799
7,WHAT'S MELTING,182643
8,Chenle,165475
9,#CHANYEOL,142066
10,#Every27thWithLOEY,133312
11,Sehun,127854
12,El 26,119236
13,BTS IS COMING,106268
14,hanbin,90656
15,#LesbianVisibilityDay,86122
16,Don Gato,83518
17,ASMR,69028
18,McDonald,68149
19,BANGTANTV,54801
20,BILLIE,53890
21,#LOEYxStudioNNG,50876
22,Mantequilla,49466
23,Raúl,49171
24,ITZY IS DIFFERENT,39432
25,Sputnik V,36461
26,Auron,32948
27,Lunes 26,31797
28,#FelizLunes,29868
29,Saúl Huerta,25867
30,#Chernobyl,18451
31,Lamento,16902
32,Miente,16496
33,#OtroDíaOtroPoderoso,
34,Clara Luz,
35,NXIVM,
36,Muchísima,
37,iOS 14.5,
38,Keith Raniere,
39,Krauze,
40,Clarita,
41,Román Meyer,
42,Ruggero,
43,K y Ej,
44,Ley Zaldívar,
45,#FelizInicioDeSemana,
46,#BuenLunes,
47,#DiadelaVisibilidadLesbica,
48,#MePoneDeBuenas,
49,#Teotihuacan,
