,topic_Milan,tweet_volume_Milan
0,#ENHYPEN,1538971
1,Butter,966674
2,#BORDER_CARNIVAL,888679
3,Nomadland,189581
4,Zendaya,174647
5,Anthony Hopkins,139108
6,Brad Pitt,87309
7,#LesbianVisibilityDay,62281
8,Frances McDormand,51617
9,Tina,31901
10,Loca,31403
11,Margot Robbie,23271
12,Pausini,20580
13,Samantha,18320
14,Poste,16803
15,#Chernobyl,15606
16,Sally,14728
17,Las Vegas,13166
18,#26aprile,11052
19,#uominiedonne,
20,Letta,
21,#PNRR,
22,#assembramenti,
23,#PNNR,
24,McDonald,
25,Aka e Tancredi,
26,Lazzaro,
27,Alessio,
28,Veneto,
29,Spalletti,
30,Partecipo,
31,Allegri,
32,Cecchi Paone,
33,Signorini,
34,Sarri,
35,Gasperini,
36,#camera,
37,#Gravina,
38,#Dieci,
39,#lefetenti,
40,#Recovery,
41,#FIGC,
42,#tagadala7,
43,#Nuda10,
44,#LOLAfterShow,
45,#varianteindiana,
46,#zonagialla,
47,#TorinoNapoli,
48,#Pirlo,
49,#LazioMilan,
