,topic_Mombasa,tweet_volume_Mombasa
0,Oscar,1099889
1,Friends,909022
2,Spotify,798180
3,Google,613603
4,Daniel Kaluuya,199430
5,Exam,156972
6,Karen,70690
7,Thierry Henry,60341
8,Bayern,50310
9,Gods,45857
10,Ronaldo,42964
11,Ghana,37313
12,Hall of Fame,34802
13,Captain America,29931
14,Safaricom,27466
15,Mr President,14892
16,see dm,13757
17,Varane,13445
18,Rooney,12087
19,Bundesliga,11850
20,Airtel,11740
21,Nairobi,10583
22,#SundownerKBC,
23,#UhuruMalizaUende,
24,#mikeandcess,
25,#HiretheBrighterMondayWay,
26,luo mps,
27,Peter Ndegwa,
28,Bob Collymore,
29,National Assembly,
30,Telkom,
31,kitale,
32,Giggs,
33,Mpesa,
34,Nyeri,
35,Drogba,
36,Mozambique,
37,BBI Bill,
38,Mombasa,
39,Eldoret,
40,Safcom,
41,classic 105,
42,KCPE,
43,lamu,
44,kisumu,
45,Ngatia,
46,Busia,
47,SMEs,
48,Kenyan,
49,,
