,topic,tweet_volume
0,Covid,2741403
1,#BTSARMY,1238363
2,Spotify,798180
3,#BTS_Butter,389614
4,Queen,269751
5,AstraZeneca,78378
6,#LesbianVisibilityDay,71591
7,BE WITH ME MV SOON,10550
8,МАСЛО,
9,Романтика,
10,Дзержинскому,
11,Прокуратура Москвы,
12,чернобыльской аэс,
13,#внутрилапенко,
14,Лубянской,
15,Константин,
16,Дудь,
17,мид рф,
18,DOXA,
19,Антона,
20,Примите,
21,Дудя,
22,Арсений,
23,Моя Россия,
24,Штабы Навального,
25,колумбо,
26,Подмосковье,
27,феликса,
28,держись,
29,Соболезную,
30,риа новости,
31,ГУЛАГ,
32,Единая Россия,
33,Путиным,
34,В Петербурге,
35,Фонда,
36,воронеже,
37,держитесь,
38,Международный,
39,Серёжа,
40,Согласен,
41,Соболезнования,
42,Италии,
43,российской федерации,
44,Тверской,
45,Горошко,
46,ЧАЭС,
47,коап,
48,японии,
49,,
