,topic,tweet_volume
0,السعوديه,613096
1,#رمضان_كريم,45274
2,اليمن,33841
3,#رمضان_مبارك,25739
4,سالم,15302
5,#شاركنا_في_عمان_الحدث,
6,#فوازير_الوفره,
7,#البدر_للعطور,
8,مسجد المضمار,
9,#صحار,
10,#مساء_الخير,
11,صالح الاعمال,
12,هون علي,
13,هازارد,
14,تشيلسي,
15,#هيثم_بن_طارق,
16,#مسابقه_ابو_الدرداء,
17,#محمد_المخيني,
18,#تصويري,
19,#لولو_هايبر_ماركت,
20,#سوالف_زيدني,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
