,topic_Nantes,tweet_volume_Nantes
0,#ENHYPEN,1538971
1,Butter,966674
2,#BORDER_CARNIVAL,888679
3,#엔하이픈,669748
4,#Drunk_Dazed,403828
5,Oscars 2021,246121
6,WHAT'S MELTING,159546
7,Bangtan,121044
8,Henry,115537
9,#MondayMotivation,98106
10,ASMR,64071
11,#LesbianVisibilityDay,62281
12,McDonald,62100
13,#OLLOSC,57346
14,Selena Gomez,56133
15,#Nomadland,33844
16,West Side Story,26379
17,Spielberg,21038
18,L'école,19024
19,Vidal,17037
20,Ratchet & Clank,10375
21,#Top5Winamax,
22,Beurre,
23,Danette,
24,Kimpembe,
25,L'ADN,
26,#rentreescolaire,
27,Blachier,
28,Cned,
29,melun,
30,Alice Coffin,
31,Buttes Chaumont,
32,Visio,
33,Naps,
34,Russes,
35,#WorldIPDay,
36,#Tchernobyl,
37,#webinar,
38,#MondayMoji,
39,#BlanquerDemission,
40,#lundifleuri,
41,#etudiants,
42,#BoomeriseUnTitre,
43,#ggrmc,
44,#LundiMotivation,
45,,
46,,
47,,
48,,
49,,
