,topic_Naples,tweet_volume_Naples
0,#Oscars,1942059
1,#ENHYPEN,1538971
2,Butter,945669
3,#BORDER_CARNIVAL,888679
4,Nomadland,189647
5,Zendaya,174647
6,Anthony Hopkins,139187
7,Brad Pitt,87287
8,#LesbianVisibilityDay,62566
9,McDonald,62100
10,Tina,31882
11,Loca,31403
12,Margot Robbie,23271
13,Pausini,20580
14,Samantha,18320
15,Poste,16789
16,#Chernobyl,15606
17,Sally,14728
18,Las Vegas,13166
19,#26aprile,11050
20,#uominiedonne,
21,#PNRR,
22,#assembramenti,
23,Aka e Tancredi,
24,Lazzaro,
25,Alessio,
26,Spalletti,
27,Veneto,
28,Partecipo,
29,Allegri,
30,Cecchi Paone,
31,Signorini,
32,Sarri,
33,Gasperini,
34,#PNNR,
35,#camera,
36,#Gravina,
37,#Dieci,
38,#lefetenti,
39,#FIGC,
40,#tagadala7,
41,#Recovery,
42,#Nuda10,
43,#LOLAfterShow,
44,#varianteindiana,
45,#zonagialla,
46,#Pirlo,
47,#TorinoNapoli,
48,#LazioMilan,
49,#FrancesMcDormand,
