,topic_Norway,tweet_volume_Norway
0,#BTSARMY,1233637
1,Oscar,1106465
2,Spotify,802617
3,Biden,582151
4,#COVID19,529561
5,Twitch,414560
6,Bitcoin,303770
7,Canada,163405
8,Holy,154127
9,Iran,101887
10,NFTs,96420
11,#LesbianVisibilityDay,86122
12,Bayern,50820
13,Tesla,38677
14,Norwegian,10962
15,#dax18,
16,Mjøndalen,
17,#vEGU21,
18,Erna,
19,Norge,
20,Bergen,
21,Absolutt,
22,ålesund,
23,Høres,
24,Deilig,
25,Tusen,
26,molde,
27,Politiet,
28,Norway,
29,Selvfølgelig,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
