,topic_Novosibirsk,tweet_volume_Novosibirsk
0,Covid,2629371
1,Spotify,774156
2,#BTS_Butter,434436
3,Queen,260438
4,Russia,83609
5,#LesbianVisibilityDay,76070
6,BE WITH ME MV SOON,11682
7,МАСЛО,
8,Дзержинскому,
9,Романтика,
10,#внутрилапенко,
11,#меладзенавкфест,
12,Прокуратура Москвы,
13,Лубянской,
14,Константин,
15,Чернобыльской АЭС,
16,doxa,
17,Дудь,
18,Антона,
19,Арсений,
20,Дудя,
21,Примите,
22,Штабы Навального,
23,колумбо,
24,ГУЛАГ,
25,AstraZeneca,
26,МИД РФ,
27,Моя Россия,
28,Соболезную,
29,Горошко,
30,Единая Россия,
31,В Петербурге,
32,Фонда,
33,воронеже,
34,Подмосковье,
35,держитесь,
36,Международный,
37,Серёжа,
38,Согласен,
39,Соболезнования,
40,Италии,
41,ВКонтакте,
42,российской федерации,
43,Казани,
44,Прости,
45,Тверской,
46,ЧАЭС,
47,коап,
48,Африке,
49,,
