,topic_Okayama,tweet_volume_Okayama
0,Butter,1866281
1,WHAT'S MELTING,182643
2,このちゃん,71632
3,にーちゃん,65268
4,ミスクレーン,62984
5,Aqours,52930
6,サン宝石,40775
7,#星のカービィ29周年,27519
8,シーズン9,25880
9,えっちゃん,24235
10,ピンクムーン,20302
11,#星野源,16311
12,#不思議,14856
13,陳宮メドレー,12993
14,Daisuke,12484
15,クレーンさん,12290
16,医療関係者,11429
17,#松田好花生誕祭,10118
18,デジタルシングル,
19,隕石衝突の可能性,
20,GoToイート発売,
21,憤りの声,
22,のちゃん誕生日,
23,matomeHub,
24,地鳴り・地響き・家,
25,ワールズエッジ,
26,ヴァルキリー,
27,ツイート多数,
28,ゲームプレイトレーラー,
29,GoTo食事券,
30,エレちゃん,
31,後藤さん,
32,カナタくん,
33,btsの魅力,
34,ボセックボウ,
35,なずなくん,
36,風磨くん入所13周年,
37,ニトちゃん,
38,英雄の軌跡,
39,有働さん,
40,ニトクリス,
41,木のハンガー,
42,レジライブ,
43,制服参戦,
44,明石市長,
45,櫻井キャスター,
46,虹3rd,
47,ロマンロン,
48,#ビビらせ邸,
49,,
