,topic,tweet_volume
0,Oscars,2526713
1,Butter,1766836
2,NEW SINGLE,221985
3,Bangtan,135753
4,Sehun,119370
5,#MondayMotivation,106882
6,BTS IS COMING,99707
7,YouTube TV,95888
8,#LesbianVisibilityDay,80874
9,Don Gato,74924
10,BILLIE,44005
11,Fields,42082
12,allkpop,31404
13,Rubio,24349
14,Roku,23294
15,Texas and Florida,20859
16,kwon mina,20080
17,49ers,16057
18,Arenas,15257
19,Tariq,14250
20,Draft Week,12305
21,Native American,11548
22,Many Americans,11344
23,Tim Ryan,11255
24,Rift Apart,10377
25,Rick Santorum,
26,Dr. Umar,
27,#AlienDay,
28,Julio Jones,
29,yeezy slides,
30,#whatsmelting,
31,#NationalPretzelDay,
32,Carol Burnett,
33,Birth of a Nation,
34,Second Amendment,
35,Rivet,
36,Elizabeth City,
37,Plymouth Middle School,
38,Andrew Shaw,
39,Falcons,
40,tjarks,
41,Iroquois Confederacy,
42,Doug Collins,
43,The Noid,
44,Joseline,
45,Tyrese,
46,Sam Johnson,
47,La Perla,
48,VALKYRIE ROCK VERSION,
49,New Leaf,
