,topic_Oman,tweet_volume_Oman
0,السعوديه,621678
1,#رمضان_كريم,46295
2,اليمن,34066
3,#رمضان_مبارك,26206
4,#شاركنا_في_عمان_الحدث,
5,#فوازير_الوفره,
6,#البدر_للعطور,
7,#صحار,
8,#هيثم_بن_طارق,
9,مسجد المضمار,
10,صالح الاعمال,
11,هون علي,
12,هازارد,
13,زيدان,
14,تشيلسي,
15,#مساء_الخير,
16,#محمد_المخيني,
17,#مسابقه_ابو_الدرداء,
18,#تصويري,
19,#لولو_هايبر_ماركت,
20,#سوالف_زيدني,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
