,topic_Orlando,tweet_volume_Orlando
0,#Oscars,1956938
1,Butter,1766836
2,Bangtan,135753
3,#MondayMotivation,106998
4,BTS IS COMING,100171
5,YouTube TV,95888
6,#LesbianVisibilityDay,80874
7,Don Gato,74924
8,Scorpio,73437
9,Lance,48907
10,BILLIE,43352
11,Fields,42082
12,allkpop,31404
13,Rick Scott,29321
14,noelle,28412
15,Rubio,24349
16,Roku,23294
17,Texas and Florida,20859
18,kwon mina,20080
19,49ers,16079
20,Arenas,15257
21,Tariq,14250
22,Draft Week,12305
23,Native American,11548
24,Many Americans,11344
25,Tim Ryan,11255
26,Rift Apart,10401
27,Waddle,
28,Rick Santorum,
29,Dr. Umar,
30,#AlienDay,
31,Julio Jones,
32,yeezy slides,
33,#whatsmelting,
34,Carol Burnett,
35,Birth of a Nation,
36,Second Amendment,
37,rivet,
38,Elizabeth City,
39,Andrew Shaw,
40,Plymouth Middle School,
41,Falcons,
42,tjarks,
43,Doug Collins,
44,The Noid,
45,Sam Johnson,
46,Tyrese,
47,Joseline,
48,Iroquois Confederacy,
49,La Perla,
