,topic,tweet_volume
0,Enhypen,2042659
1,#Oscars,1938881
2,COVID-19,1028250
3,Butter,792686
4,Johnson & Johnson,246289
5,guy a.,224084
6,bighit,213506
7,HAECHAN,190833
8,CHENLE,131273
9,Bangtan,117547
10,#MondayMotivation,96873
11,Hana,65447
12,Irene,63825
13,McDonald,60320
14,#LesbianVisibilityDay,60188
15,Good Monday,44219
16,Fields,39840
17,THATS IT,37683
18,Tubbo,35735
19,Erin,18256
20,CBC News,14336
21,Tariq,12536
22,Rudy,12198
23,Ratchet & Clank,10105
24,Andrew Shaw,
25,Emily Victoria Viegas,
26,#whatsmelting,
27,#PaidSickDays,
28,Brampton,
29,Santorum,
30,Bill 247,
31,Julio Jones,
32,"aylmer, ont",
33,Port of Montreal,
34,Duhaime,
35,Guillaume,
36,Derek Sloan,
37,Chargers,
38,PC MPPs,
39,adam vaughan,
40,Toronto Star,
41,Conrad,
42,Native American,
43,TLMEP,
44,Essex,
45,Waddle,
46,york region,
47,Newfoundland,
48,Nova Scotia,
49,lemay,
