,topic,tweet_volume
0,Butter,1859364
1,Spotify,802617
2,BORING,548207
3,jungkook,467580
4,President,395423
5,namjoon,366859
6,West,260331
7,Jake,258024
8,Bestie,233595
9,Pink,221659
10,WHAT'S MELTING,182643
11,Hero,181920
12,Soft,174553
13,Major,147477
14,Yellow,145424
15,#CHANYEOL,141716
16,Bangtan,138037
17,#Every27thWithLOEY,133312
18,Brown,130815
19,Sehun,127472
20,hobi,98114
21,BTSARMY RUN FOR BTS,76709
22,Useless,69282
23,ariana,61953
24,McDonalds,56565
25,jhope,55886
26,Constitution,34226
27,Judges,24168
28,eunwoo,23964
29,Maryam,23564
30,#JusticeQaziFaezIsa,16226
31,Varane,14055
32,Aunty,12969
33,Judiciary,12938
34,#SupremeCourt,12680
35,Missing Persons Lives Matter,
36,shias of pakistan,
37,#DGISPR,
38,reham khan,
39,Mansoor,
40,Pashto,
41,Supreme Judicial Council,
42,Buzdar,
43,Maghrib,
44,Waziristan,
45,Waise,
46,Tenks,
47,Mian,
48,Chand,
49,Umer,
