,topic,tweet_volume
0,#Oscars,1942059
1,#ENHYPEN,1538971
2,Butter,966674
3,#BORDER_CARNIVAL,888679
4,Nomadland,189581
5,Zendaya,174647
6,Anthony Hopkins,139108
7,Brad Pitt,87287
8,#LesbianVisibilityDay,62281
9,Tina,31882
10,Loca,31403
11,Margot Robbie,23262
12,Pausini,20580
13,Samantha,18320
14,Poste,16789
15,#Chernobyl,15573
16,Sally,14728
17,Las Vegas,13166
18,#26aprile,11050
19,#uominiedonne,
20,#PNRR,
21,#assembramenti,
22,McDonald,
23,Aka e Tancredi,
24,Lazzaro,
25,Alessio,
26,Spalletti,
27,Veneto,
28,Partecipo,
29,Allegri,
30,Cecchi Paone,
31,Signorini,
32,Sarri,
33,Gasperini,
34,#PNNR,
35,#camera,
36,#Gravina,
37,#Dieci,
38,#lefetenti,
39,#Recovery,
40,#FIGC,
41,#tagadala7,
42,#Nuda10,
43,#LOLAfterShow,
44,#varianteindiana,
45,#zonagialla,
46,#TorinoNapoli,
47,#Pirlo,
48,#LazioMilan,
49,#FrancesMcDormand,
