,topic_Palma,tweet_volume_Palma
0,Enhypen,2331073
1,Butter,1294279
2,Dynamite,925627
3,And the Oscar,140509
4,Bangtan,128191
5,Correos,87573
6,McDonald,64544
7,Ana Rosa,63787
8,Paint,58400
9,Raúl,49087
10,Marlaska,47484
11,Reyes Maroto,36872
12,Chernobyl,36655
13,Don Gato,34930
14,11-M,32338
15,Infolibre,26898
16,Leopoldo López,24979
17,Photoshop,21271
18,Auron,20303
19,Inda,18149
20,Cancún,15487
21,Ratchet,14550
22,Gernika,13670
23,Varane,13126
24,#PabloIglesiasFascista,12097
25,#ReturnalPS5enGAME,10719
26,Mónica López,10173
27,Juana Rivas,
28,El Escorial,
29,Muchísima,
30,Adriana Lastra,
31,Risto,
32,Iván Redondo,
33,El Supremo,
34,Jesulin,
35,Villarejo,
36,Ministerios,
37,Guernica,
38,Xbox 360,
39,Djukic,
40,PREGUNTAS DESCARADAS,
41,Curro Jiménez,
42,José Gomes,
43,Señor Iglesias,
44,Mamen,
45,Sanfermines,
46,Miércoles 28,
47,,
48,,
49,,
