,topic_Peru,tweet_volume_Peru
0,Dynamite,986301
1,ARMY,892985
2,Comeback,844482
3,#방탄소년단,653906
4,#BTS_Butter,496053
5,HYBE,335008
6,REQUEST,272884
7,QUE ES ESTO,189799
8,WHAT'S MELTING,182643
9,Chenle,165475
10,#CHANYEOL,142066
11,Bangtan,138037
12,#Every27thWithLOEY,133312
13,Sara,132277
14,Sehun,127854
15,BTS IS COMING,106268
16,El 21,102111
17,Inglés,92690
18,Don Gato,83518
19,Reyes,81627
20,NO PUEDE SER,81165
21,ASMR,68985
22,McDonald,68149
23,ariana,62002
24,BILLIE,53890
25,#LOEYxStudioNNG,51042
26,Mantequilla,49466
27,Raúl,49215
28,Fuerzas,43169
29,minho,42202
30,ITZY IS DIFFERENT,39435
31,Auron,32948
32,De Soto,31039
33,Robar,19854
34,TENGO MIEDO,17765
35,Lamento,16902
36,NO ESTOY BIEN,14794
37,Ejecutivo,12911
38,NO ENTIENDO NADA,11051
39,Ánimos,10729
40,NO ESTOY LISTA,
41,Gamarra,
42,Charito,
43,K y Ej,
44,Francisco Tudela,
45,improvisado,
46,Avanza País,
47,Yahaira Plasencia,
48,Saavedra,
49,Don Pedro,
