,topic_Petaling,tweet_volume_Petaling
0,Butter,1866281
1,Dynamite,986301
2,Comeback,844482
3,jaemin,349539
4,HYBE,335008
5,bighit,271433
6,MY HEART,246544
7,NEW SINGLE,230779
8,haechan,226964
9,Chanyeol,220597
10,WHAT'S MELTING,182643
11,Chenle,165475
12,Bangtan,138174
13,#Every27thWithLOEY,133706
14,Armys,132303
15,Sehun,127472
16,hanbin,90656
17,Irene,76768
18,#BoringJalapeño_Day2,73536
19,ASMR,68985
20,joon,68810
21,McDonald,68104
22,Leon,60711
23,BILLIE,54372
24,#LOEYxStudioNNG,50876
25,EXCUSE ME,48939
26,jihyo,43095
27,minho,42202
28,#GuessWho_MVTeaser1,40674
29,SOTY,39882
30,ITZY IS DIFFERENT,39435
31,WJSN,36136
32,Betty,35388
33,seulgi,30648
34,minghao,28577
35,kwon mina,25180
36,minhyun,16931
37,IM SO EXCITED,14093
38,lino,12404
39,STREAM BOY ON YOUTUBE,10220
40,P'Tay,10014
41,#ProjekAnchorSPM,
42,Deputy IGP,
43,Gordon Ramsay,
44,Hilmi,
45,pdpr,
46,Changsub,
47,pdrm,
48,jaehwan,
49,Beef Wellington,
