,topic_Port Elizabeth,tweet_volume_Port Elizabeth
0,Butter,1507581
1,Spotify,797388
2,President,397596
3,I 1-2,147644
4,I 1 2,147586
5,Henry,119136
6,Solidarity,85728
7,#EricaxLatiziaMagazine,73481
8,McDonald,66161
9,Yusuf,34039
10,Tyler Perry,29307
11,#DearOzo,28306
12,OZOEMENA CHUKWU,25302
13,Hawks,23866
14,ANTICIPATE THE WIG,19527
15,jessie,18541
16,CCTV,16682
17,Ramaphosa,15055
18,lasizwe,12881
19,Venda,12222
20,Rooney,12106
21,Zuma,10689
22,Duarte,10050
23,Simphiwe Dana,
24,#titsoutforkeenan,
25,Pitso,
26,#KayaDrive,
27,Chicken Licken,
28,Washington Arubi,
29,Gama,
30,News Cafe,
31,CIPC,
32,Xhosa,
33,Danny Jordan,
34,Tyrese,
35,SAFA,
36,Tsonga,
37,Sandra Stein,
38,Bonnie,
39,Scholes,
40,tswana,
41,Marikana,
42,Steers,
43,making lunch,
44,William Nicol,
45,Grade 11,
46,Mr Smeg,
47,Bafana,
48,Giggs,
49,,
