,topic_Portugal,tweet_volume_Portugal
0,Enhypen,2400136
1,Butter,1859364
2,COVID-19,1065742
3,jaemin,349539
4,bighit,271805
5,Chadwick,246240
6,haechan,226816
7,iPhone,151516
8,Hollywood,115683
9,#LesbianVisibilityDay,86122
10,Elite,77446
11,Karen,70767
12,McDonald,68104
13,Cringe,61048
14,Costa,57555
15,One Piece,54511
16,BILLIE,53890
17,taylor swift,52121
18,Bayern,50754
19,Portugal,48644
20,O Tiago,48185
21,minho,42202
22,Chernobyl,40572
23,Manu,32804
24,Apaga,26987
25,adidas,25662
26,Esperemos,22022
27,Tinder,21308
28,Dua Lipa,14022
29,Renato,11487
30,#PapaBonusBetclic,
31,#whatsmelting,
32,nuno borges,
33,#sportingb,
34,#EstorilOpen,
35,Penafiel,
36,Bloco,
37,francisco conceição,
38,Algarve,
39,Felizmente,
40,Florentino,
41,Moreirense,
42,Évora,
43,observador,
44,Japão,
45,Rawe Ceek,
46,manel,
47,Lisboa,
48,Benfica B,
49,AstraZeneca,
