,topic,tweet_volume
0,#ENHYPEN,1538971
1,Butter,966674
2,#BORDER_CARNIVAL,888679
3,HYBE,310201
4,chanyeol,104522
5,sehun,64145
6,#LesbianVisibilityDay,62281
7,McDonald,62100
8,Nagelsmann,22611
9,CO JEST,15321
10,PROUD OF NIALL,12456
11,Masło,
12,Lewicy,
13,Lidlu,
14,Ekipa,
15,Czarnobylu,
16,#matura2021,
17,Migalski,
18,PiSem,
19,cichociemni,
20,Krajowego Planu Odbudowy,
21,Bangtani,
22,Lugola,
23,Funduszu Odbudowy,
24,bayernie,
25,Kolor,
26,PiSowi,
27,Hołownia,
28,Sejmie,
29,hbo go,
30,koksy,
31,Czechami,
32,CO TO JEST,
33,lipsku,
34,Podrywacze,
35,Różowy,
36,Matma,
37,Brosz,
38,Wybieram,
39,Wrocławiu,
40,Sobolewski,
41,fioletowy,
42,hyballe,
43,PiSu,
44,Warzechy,
45,Nepo,
46,Kamila,
47,Zandberg,
48,Od 4,
49,,
