,topic_Quito,tweet_volume_Quito
0,#BTS_Butter,257657
1,Anthony,210557
2,Amén,150577
3,Sara,126188
4,Bangtan,121044
5,La Ley,101191
6,McDonald,62100
7,Sputnik,51414
8,Ánimo,48411
9,Bendiciones,41060
10,Fuerzas,38222
11,Presos,34571
12,Fiscalía,29715
13,Pronta,29476
14,#FelizLunes,25970
15,Rusia,25709
16,Chino,22866
17,Facebook Live,22417
18,Sensei,20096
19,Durán,17690
20,TikTokers,12863
21,Sinvergüenza,11023
22,Trujillo,10673
23,la troncal,
24,#Temblor,
25,Castilla,
26,cañar,
27,#VacunadosVip,
28,Ariel Holan,
29,Wated,
30,#sismo,
31,Piura,
32,Sr. Presidente,
33,Borrero,
34,Rotarios,
35,RUGGERO,
36,Celi,
37,Diego Oquendo,
38,carrión,
39,Ecuatorianos,
40,Viteri,
41,Zevallos,
42,Guillermo Lasso,
43,Michael Estrada,
44,mucho lote,
45,rotary,
46,Picq,
47,Karly,
48,Disculpe,
49,Correismo,
