,topic_Raleigh,tweet_volume_Raleigh
0,Butter,1766836
1,Apple,364628
2,Bangtan,135753
3,Sehun,119967
4,#MondayMotivation,106882
5,BTS IS COMING,100171
6,YouTube TV,95888
7,#LesbianVisibilityDay,80874
8,Don Gato,75519
9,BILLIE,44005
10,Fields,42082
11,allkpop,31404
12,Rubio,24349
13,Roku,23294
14,Texas and Florida,20859
15,kwon mina,20080
16,North Carolina,16464
17,49ers,16057
18,Arenas,15257
19,Tariq,14250
20,Triangle,12463
21,Draft Week,12337
22,Native American,11481
23,Many Americans,11344
24,Tim Ryan,11255
25,Rift Apart,10377
26,Wake County,
27,Rick Santorum,
28,Dr. Umar,
29,#AlienDay,
30,Julio Jones,
31,yeezy slides,
32,#whatsmelting,
33,#NationalPretzelDay,
34,Carol Burnett,
35,Birth of a Nation,
36,Second Amendment,
37,rivet,
38,Elizabeth City,
39,Andrew Shaw,
40,Plymouth Middle School,
41,Falcons,
42,tjarks,
43,Doug Collins,
44,The Noid,
45,Joseline,
46,Sam Johnson,
47,Tyrese,
48,Iroquois Confederacy,
49,La Perla,
