,topic_Rawalpindi,tweet_volume_Rawalpindi
0,Butter,1654782
1,Spotify,774879
2,Boring,530697
3,jungkook,456408
4,President,381427
5,namjoon,358422
6,Queen,260438
7,West,254593
8,Jake,252457
9,WhatsApp,243071
10,Bestie,227434
11,Pink,214468
12,Hero,177881
13,WHAT'S MELTING,176202
14,Yellow,140483
15,Bangtan,132830
16,#Every27thWithLOEY,113005
17,sehun,109410
18,hobi,95783
19,soobin,95497
20,Majority,73554
21,BTSARMY RUN FOR BTS,72680
22,Useless,65793
23,McDonald,65642
24,ariana,60048
25,jhope,54463
26,Iftar,41681
27,Constitution,32261
28,Madam,24921
29,eunwoo,23408
30,Judges,22727
31,#JusticeQaziFaezIsa,15328
32,Varane,13502
33,Aunty,12617
34,Judiciary,12255
35,#SupremeCourt,12222
36,#DGISPR,
37,reham khan,
38,Mansoor,
39,Supreme Judicial Council,
40,Buzdar,
41,Roza,
42,Pashto,
43,Waise,
44,Waziristan,
45,Tenks,
46,Mian,
47,MA SHA ALLAH,
48,Maghrib,
49,,
