,topic_Rostov-on-Don,tweet_volume_Rostov-on-Don
0,Covid,2632114
1,Spotify,774879
2,#BTS_Butter,434436
3,Queen,260438
4,Russia,83609
5,#LesbianVisibilityDay,76070
6,AstraZeneca,75010
7,BE WITH ME MV SOON,11682
8,МАСЛО,
9,Дзержинскому,
10,Романтика,
11,#меладзенавкфест,
12,#внутрилапенко,
13,Прокуратура Москвы,
14,Чернобыльской АЭС,
15,Лубянской,
16,Константин,
17,doxa,
18,Дудь,
19,МИД РФ,
20,Антона,
21,Дудя,
22,Арсений,
23,Примите,
24,Моя Россия,
25,Штабы Навального,
26,колумбо,
27,ГУЛАГ,
28,Соболезную,
29,риа новости,
30,Горошко,
31,Единая Россия,
32,Путиным,
33,В Петербурге,
34,Фонда,
35,воронеже,
36,Подмосковье,
37,держитесь,
38,Международный,
39,Серёжа,
40,Согласен,
41,Соболезнования,
42,Италии,
43,ВКонтакте,
44,российской федерации,
45,Прости,
46,Тверской,
47,ЧАЭС,
48,Секси,
49,,
