,topic,tweet_volume
0,Butter,1294279
1,WHAT'S MELTING,166984
2,このちゃん,70682
3,ミスクレーン,61244
4,Aqours,50706
5,サン宝石,39505
6,ソロモン,35569
7,公開延期,30587
8,ファイナル,29298
9,えっちゃん,23719
10,#あんスタの一番の思い出,19990
11,ピンクムーン,19255
12,ハサウェイ延期,18322
13,他県外出,12411
14,陳宮メドレー,12225
15,クレーンさん,11769
16,Daisuke,11724
17,#稲垣吾郎,11137
18,医療関係者,10749
19,#konokatalk,
20,#Mリーグ,
21,#カリーライスチャレンジ,
22,#njdontaku,
23,デジタルシングル,
24,隕石衝突の可能性,
25,のちゃん誕生日,
26,GoToイート発売,
27,憤りの声,
28,matomeHub,
29,地鳴り・地響き・家,
30,ツイート多数,
31,エレちゃん,
32,BTSの魅力,
33,ニトちゃん,
34,有働さん,
35,なずなくん,
36,制服参戦,
37,カナタくん,
38,ニトクリス,
39,風磨くん入所13周年,
40,虹3rd,
41,GoTo食事券,
42,後藤さん,
43,櫻井キャスター,
44,ポテサラ,
45,木のハンガー,
46,フィジカル音盤,
47,レジライブ,
48,金券配布,
49,,
