,topic_San Antonio,tweet_volume_San Antonio
0,Oscars,2525997
1,Butter,1766836
2,#ENHYPEN,1605636
3,Anthony Hopkins,143676
4,Bangtan,135753
5,Sehun,119967
6,#MondayMotivation,106998
7,BTS IS COMING,100171
8,YouTube TV,95939
9,#LesbianVisibilityDay,81120
10,Don Gato,75519
11,Scorpio,73437
12,BILLIE,44005
13,Fields,42082
14,allkpop,31404
15,Rubio,24349
16,Roku,23294
17,Texas and Florida,20859
18,kwon mina,20080
19,49ers,16079
20,Arenas,15257
21,Tariq,14250
22,Draft Week,12337
23,Native American,11481
24,Many Americans,11310
25,Tim Ryan,11215
26,Rift Apart,10401
27,#CRESTEducators,
28,Rick Santorum,
29,Dr. Umar,
30,#AlienDay,
31,Julio Jones,
32,yeezy slides,
33,Carol Burnett,
34,Birth of a Nation,
35,Second Amendment,
36,rivet,
37,Elizabeth City,
38,Andrew Shaw,
39,Falcons,
40,Plymouth Middle School,
41,tjarks,
42,Doug Collins,
43,Sam Johnson,
44,Tyrese,
45,Joseline,
46,Iroquois Confederacy,
47,The Noid,
48,La Perla,
49,VALKYRIE ROCK VERSION,
