,topic,tweet_volume
0,Butter,1766836
1,#ENHYPEN,1604889
2,#BORDER_CARNIVAL,889659
3,#Drunk_Dazed,423742
4,Bangtan,135753
5,BTS IS COMING,99707
6,YouTube TV,95888
7,#LesbianVisibilityDay,80874
8,Scorpio,73437
9,McCarthy,52823
10,Lance,48907
11,BILLIE,43352
12,Fields,42082
13,allkpop,31404
14,Rubio,24349
15,Roku,23294
16,Texas and Florida,20859
17,kwon mina,20080
18,49ers,16079
19,Arenas,15257
20,Tariq,14250
21,Native American,11548
22,Many Americans,11344
23,Tim Ryan,11255
24,Rift Apart,10377
25,Shanahan,
26,Lynch,
27,Niners,
28,#earthquake,
29,Rick Santorum,
30,Dr. Umar,
31,Julio Jones,
32,yeezy slides,
33,Carol Burnett,
34,Birth of a Nation,
35,Second Amendment,
36,rivet,
37,Elizabeth City,
38,Andrew Shaw,
39,Falcons,
40,Plymouth Middle School,
41,tjarks,
42,Doug Collins,
43,Sam Johnson,
44,Tyrese,
45,Joseline,
46,Iroquois Confederacy,
47,The Noid,
48,La Perla,
49,,
