,topic_Srinagar,tweet_volume_Srinagar
0,Butter,1654782
1,Dynamite,949404
2,Comeback,822285
3,namjoon,358422
4,HYBE,330071
5,NEW SINGLE,208367
6,WHAT'S MELTING,176429
7,Bangtan,132830
8,SSR Killed By Strangulation,120297
9,#Every27thWithLOEY,112151
10,sehun,109410
11,irene,73485
12,Please Donate,73013
13,Donated,69483
14,ASMR,67070
15,Jordan,66556
16,McDonald,65570
17,चुनाव आयोग,48127
18,The Australian,39922
19,#End_Casteism_In_IIT,38177
20,Betty,33217
21,#RealStory_Of_Hanumanji,25739
22,Armed Forces,23553
23,#FailedPMModi,21062
24,BCCI,17080
25,#PBKSvKKR,15127
26,Patty,14459
27,CRED,13414
28,Thanks Pat,11403
29,SSRians Help In Covid Crisis,10627
30,NGOs,10375
31,#RemoveKejriVirus,
32,bookone show crorepati,
33,Dusk Blue,
34,Amul,
35,IIT Kharagpur,
36,Huge Respect,
37,EAT JIN,
38,Madras HC,
39,Naxals,
40,IITs,
41,Andrew Tye,
42,Great Gesture,
43,Niti Aayog,
44,Favourite Moment,
45,Indian Cricketers,
46,CROREPATI OFFER,
47,,
48,,
49,,
