,topic_Stockholm,tweet_volume_Stockholm
0,Butter,1294279
1,Spotify,783113
2,Amazon,746487
3,namjoon,365483
4,Disney,155560
5,Astra Zeneca,76854
6,tommy,72817
7,#LesbianVisibilityDay,66866
8,McDonald,64544
9,Scotland,63738
10,England,59917
11,#bootwtselfieday,47209
12,LinkedIn,44578
13,Donald Trump,43920
14,Wikipedia,41835
15,ADHD,37938
16,Chernobyl,36722
17,Hank,23314
18,Daniel Ek,21059
19,Bidens,18352
20,Mena,12161
21,Skit,11550
22,Maguire,10195
23,FARLANDER AM,
24,Löfven,
25,Göran Lambertz,
26,Bolund,
27,#ifkgbg,
28,#modose,
29,Grattis,
30,#denstoraälgvandringen,
31,Karlsson,
32,kungen,
33,Tjernobyl,
34,IFK Göteborg,
35,Sveaskog,
36,Javisst,
37,Lidingö,
38,djurgården,
39,läste,
40,Frankrike,
41,Blåvitt,
42,Afrika,
43,Ungern,
44,Australien,
45,billborn,
46,Tjeckien,
47,Kroenke,
48,Hjälp,
49,Fantastisk,
