,topic,tweet_volume
0,Butter,1294279
1,Dynamite,925627
2,#SEVENTEEN,382208
3,Jake,266738
4,MY HEART,241802
5,bighit,239984
6,Spring,198927
7,CAN'T WAIT,197688
8,WHAT'S MELTING,166984
9,NEW SINGLE,166427
10,CHENLE,149988
11,Bangtan,128191
12,#CHANYEOL,88449
13,hanbin,87538
14,Tahu,84449
15,INI APA,72289
16,Irene,69949
17,#Every27thWithLOEY,69332
18,ASMR,66032
19,BTSARMY RUN FOR BTS,65045
20,BTS IS COMING,58891
21,K and EJ,55888
22,D-30,44686
23,Sejam,39872
24,6th Anniversary Challenge,39288
25,Day-30,35625
26,ITZY IS DIFFERENT,29607
27,#LOEYxStudioNNG,25692
28,Mentega,17193
29,Geonu,14548
30,Meleleh,11951
31,21 Mei,11873
32,#IkatanCintaEp251,10854
33,Reyna,10077
34,BTS IS BACK,
35,LEE HAECHAN,
36,GITU DOANG,
37,Ultimate Bias,
38,P'Tay,
39,Rimar,
40,Burung,
41,Komnas HAM,
42,Nunggu 1,
43,Sunda Empire,
44,Keju,
45,Jeon Wonwoo,
46,Bu Risma,
47,11.00 WIB,
48,kim yerim,
49,matematika,
