,topic,tweet_volume
0,TikTok,482719
1,Twitch,414560
2,Europe,117034
3,Hollywood,115773
4,Israel,103311
5,#LesbianVisibilityDay,86122
6,Messi,84796
7,Option,83538
8,Moderna,60824
9,Finger,48635
10,Alternative,41476
11,Super League,38306
12,Yess,37001
13,hoodie,29722
14,Draghi,23453
15,#VaccinesWork,19297
16,geimpfte,15245
17,conseil,13957
18,Hygienemaske,
19,Vaud,
20,Impfzentrum,
21,#WorldIPDay,
22,Spital,
23,#Tschernobyl,
24,#climatechange,
25,Migros,
26,Spieler,
27,Chine,
28,Adolf Muschg,
29,Anzug,
30,Umfrage,
31,kanton,
32,Kohle,
33,Hölle,
34,Svizzera,
35,Antworten,
36,Mühe,
37,Stück,
38,Schüler,
39,parlament,
40,Infektion,
41,Schutz,
42,Fakten,
43,Schritt,
44,Freiheiten,
45,Kanzlerin,
46,Russland,
47,AstraZeneca,
48,Zurich,
49,Luzern,
