,topic,tweet_volume
0,Índia,1430406
1,#BTS_Butter,262561
2,bighit,224424
3,O QUE É ISSO,177384
4,Hopkins,172099
5,WHAT'S MELTING,159546
6,hanbin,86303
7,ASMR,64071
8,Guardiola,57014
9,MANTEIGA,49935
10,BANGTANTV,47972
11,O Santos,47177
12,UMA HORA,39924
13,Sputnik V,34049
14,Ana Maria,27928
15,noelle,27406
16,BTS IS COMING,26295
17,Fábio,24115
18,É COMEBACK,23128
19,Fortaleza,22412
20,ITZY IS DIFFERENT,21541
21,BROTA NO BAILÃO,19371
22,É SINGLE,18460
23,Thelma,16535
24,OQ É ISSO,12533
25,#maisvocê,12477
26,#FicaHolan,11984
27,Ratchet & Clank,10375
28,#BDSP,
29,Renato Gaúcho,
30,mc donalds,
31,#BolsonaroPresidenteAte2026,
32,Lisca,
33,Marinho,
34,Diniz,
35,TE AMAMOS VITORIA,
36,Jair Ventura,
37,Marcelo Fernandes,
38,Thelminha,
39,Hering,
40,Salve o Mundo,
41,Carcará,
42,dorival,
43,manu rios,
44,Qualy,
45,Adão,
46,Grupo Soma,
47,CUFA,
48,ERA SÓ ISSO,
49,Kindle 10a,
