,topic_Turmero,tweet_volume_Turmero
0,#SemanaFlexible,462913
1,España,305439
2,#BTS_Butter,257657
3,El Covid-19,178320
4,Óscar 2021,161820
5,Bioseguridad,159824
6,Amén,150577
7,Perú,142740
8,PSOE,120026
9,#26Abr,106478
10,El 26,103514
11,Chelsea,72306
12,Victor,63021
13,McDonald,62100
14,Ecuador,50372
15,Omar,47521
16,Bendecido,43083
17,Bendiciones,41060
18,apure,40171
19,Presidente Maduro,29330
20,#FelizLunes,26042
21,Asamblea,22358
22,#GNByPuebloVenciendo,17855
23,Diplomático,13955
24,Vamos a 7,13874
25,Navalny,13677
26,Trinidad,13369
27,Varane,12792
28,Delta Amacuro,12065
29,Tucupita,10491
30,Juan Pablo Pernalete,
31,Día Internacional del Humor,
32,Yulimar Rojas,
33,Eliézer Otaiza,
34,Raúl Leoni,
35,Sara y Sofía Oviedo,
36,UNEFA,
37,The Washington Post,
38,Chernóbil,
39,Urbanización,
40,Eduardo Rodríguez,
41,Saime,
42,Táchira y Bolívar,
43,Elvis Amoroso,
44,Cddno,
45,Caribe,
46,Jamaica,
47,María Carolina Santana,
48,andrés eloy blanco,
49,AMADO DIOS,
