,topic_Ufa,tweet_volume_Ufa
0,Covid,2629371
1,#BTSARMY,1208927
2,Spotify,774879
3,#BTS_Butter,434436
4,Queen,260438
5,Russia,83609
6,#LesbianVisibilityDay,76070
7,BE WITH ME MV SOON,11682
8,МАСЛО,
9,Дзержинскому,
10,Романтика,
11,#внутрилапенко,
12,#меладзенавкфест,
13,Прокуратура Москвы,
14,Лубянской,
15,Константин,
16,Чернобыльской АЭС,
17,doxa,
18,Дудь,
19,Антона,
20,Арсений,
21,Дудя,
22,Примите,
23,Штабы Навального,
24,колумбо,
25,ГУЛАГ,
26,AstraZeneca,
27,МИД РФ,
28,Моя Россия,
29,Соболезную,
30,Горошко,
31,Единая Россия,
32,В Петербурге,
33,Фонда,
34,воронеже,
35,Подмосковье,
36,держитесь,
37,Международный,
38,Серёжа,
39,Согласен,
40,Соболезнования,
41,Италии,
42,ВКонтакте,
43,российской федерации,
44,Казани,
45,Прости,
46,Тверской,
47,ЧАЭС,
48,коап,
49,Африке,
