,topic,tweet_volume
0,Oscar,1098348
1,Money,836991
2,Spotify,789084
3,#BTS_Butter,470378
4,jungkook,462584
5,namjoon,363136
6,jaemin,344450
7,Bitcoin,299860
8,Lisa,241199
9,haechan,223786
10,Lovely,212918
11,Chanyeol,209314
12,Ramadan,139074
13,Nigeria,138561
14,Bangtan,135599
15,Paris,127244
16,Sehun,119967
17,14 رمضان,115075
18,١٤ رمضان,114981
19,Correct,103828
20,Mumbai,89294
21,#LesbianVisibilityDay,81120
22,Germany,76969
23,Chelsea,73853
24,PM Cares,56816
25,McDonalds,54937
26,Bayern,49769
27,Punjab,45609
28,BILLIE,44005
29,Drake,44003
30,Dubai,43009
31,Iftar,42440
32,minho,41616
33,Ronaldo,40305
34,Yess,36525
35,Neymar,34636
36,#PBKSvKKR,16456
37,#JusticeQaziFaezIsa,15801
38,الوحدة,15672
39,Om Shanti,13289
40,Qatar,11759
41,Abu Dhabi,10472
42,الامارات العربية المتحدة,
43,#تركيا,
44,جميل الروح,
45,عقب الفطور,
46,علي السلامه,
47,حسن الحياه,
48,هون علي,
49,Ofcourse,
