,topic,tweet_volume
0,Spotify,802617
1,#BTS_Butter,497496
2,bighit,271805
3,Chanyeol,220597
4,Bangtan,138037
5,Apple Music,130834
6,Boris Johnson,128679
7,Sehun,127854
8,Henry,121759
9,Iran,102064
10,Prime Minister,92641
11,#LesbianVisibilityDay,86122
12,BILLIE,53890
13,Perry,50069
14,Hall of Fame,35943
15,Shearer,32391
16,Daily Mail,31728
17,Nagelsmann,24874
18,Gove,24072
19,Bergkamp,23694
20,Daniel Ek,23221
21,Fara,16890
22,Tariq,14861
23,Varane,14074
24,Bailly,13866
25,Peston,13192
26,Rooney,12780
27,Native Americans,12259
28,Rift Apart,10756
29,#BodiesPiledHigh,
30,Simon Case,
31,#FreeNazanin,
32,#TennisInSongOrFilm,
33,Sprint Qualifying,
34,Crawley College,
35,Foreign Secretary,
36,Magna Carta,
37,Scholes,
38,Gerrard,
39,Minella Indo,
40,Lampard,
41,Drowning Pool,
42,Yes Minister,
43,Rivet,
44,Silverstone,
45,Balogun,
46,Flamini,
47,Phil Jones,
48,Gareth Barry,
49,giggs,
