,topic_Valencia,tweet_volume_Valencia
0,Enhypen,2331073
1,Butter,1294279
2,Dynamite,918493
3,And the Oscar,140509
4,Bangtan,128191
5,Correos,87670
6,McDonald,64544
7,Ana Rosa,63898
8,Paint,58441
9,Raúl,49087
10,Guardia Civil,48759
11,Marlaska,47518
12,Reyes Maroto,36872
13,Chernobyl,36655
14,Don Gato,34930
15,11-M,32338
16,Infolibre,26898
17,Photoshop,21255
18,Auron,20303
19,Inda,18149
20,Cancún,15487
21,Ratchet,14550
22,Gernika,13670
23,Varane,13126
24,#PabloIglesiasFascista,12097
25,#ReturnalPS5enGAME,10719
26,Mónica López,10173
27,Juana Rivas,
28,#TodoEsMentira26A,
29,#DiadelaVisibilidadLesbica,
30,El Escorial,
31,#MisterUnderdog57,
32,Muchísima,
33,Adriana Lastra,
34,Risto,
35,Iván Redondo,
36,El Supremo,
37,Jesulin,
38,Villarejo,
39,Ministerios,
40,Guernica,
41,Xbox 360,
42,Djukic,
43,PREGUNTAS DESCARADAS,
44,Curro Jiménez,
45,José Gomes,
46,Señor Iglesias,
47,Mamen,
48,Sanfermines,
49,Miércoles 28,
