,topic_Voronezh,tweet_volume_Voronezh
0,Covid,2677201
1,#BTSARMY,1238363
2,Spotify,797388
3,#BTS_Butter,389614
4,Queen,269751
5,AstraZeneca,78378
6,#LesbianVisibilityDay,71591
7,в 2021,17760
8,BE WITH ME MV SOON,10625
9,МАСЛО,
10,Дзержинскому,
11,Романтика,
12,Прокуратура Москвы,
13,чернобыльской аэс,
14,Лубянской,
15,#меладзенавкфест,
16,Константин,
17,#внутрилапенко,
18,Дудь,
19,мид рф,
20,Антона,
21,Примите,
22,Дудя,
23,Арсений,
24,DOXA,
25,Штабы Навального,
26,колумбо,
27,Подмосковье,
28,Соболезную,
29,феликса,
30,держись,
31,риа новости,
32,ГУЛАГ,
33,Единая Россия,
34,Путиным,
35,воронеже,
36,держитесь,
37,в петербурге,
38,Международный,
39,Серёжа,
40,Согласен,
41,Соболезнования,
42,Италии,
43,российской федерации,
44,Тверской,
45,Горошко,
46,ЧАЭС,
47,коап,
48,японии,
49,Окей,
